file,line,match,tag,snippet
components/site/Hero.tsx,115,#efedea,,<div className="absolute inset-0 -z-10 bg-[#efedea]/60" />
components/site/Hero.tsx,124,#efedea,,<div className="absolute inset-0 -z-10 bg-[#efedea]" />
components/site/Hero.tsx,144,#231010,,<p className="text-xl md:text-2xl font-light leading-relaxed text-[#231010]/70">
components/site/Nav.tsx,82,#efedea,,<div className={`absolute inset-0 bg-[#efedea] transition-opacity duration-300 ease-out ${megaMenuOpen ? 'opacity-100' : 'opacity-0'}`} />
components/site/Nav.tsx,101,#231010,,<span className="font-[Archivo] font-medium text-[8px] tracking-[-0.4px] -mt-0.5 text-[#231010]">&trade;</span>
components/site/Nav.tsx,116,#efedea | rgba(0;0;0;0.06),,<div className={`w-full bg-[#efedea] ${megaMenuOpen ? 'flyout-open' : ''}`} style={{ boxShadow: "0 4px 16px rgba(0;0;0;0.06)" }}>
components/site/Nav.tsx,123,#231010,,<div className="flyout-item font-sans text-[11px] font-medium tracking-[2px] text-[#231010]/30 uppercase" data-delay={gi * 2 + 1}>
components/site/Nav.tsx,149,rgba(0;0;0;0.1) | rgba(255;255;255;0.2),,style={{ boxShadow: "0 8px 32px rgba(0;0;0;0.1); inset 0 1px 0 rgba(255;255;255;0.2)" }}
components/site/Nav.tsx,227,#231010 | #231010,,className="p-2 text-[#231010]/40 hover:text-[#231010] transition-colors"
components/site/Nav.tsx,237,#231010,,<SheetTitle className="font-sans font-light text-[#231010] text-left text-base tracking-tight uppercase">
components/site/Nav.tsx,252,#231010,,<span className="font-sans text-xl font-light text-[#231010] capitalize">
components/site/Nav.tsx,256,#231010,,className={`w-5 h-5 text-[#231010]/30 transition-transform duration-300 ${
components/site/Nav.tsx,266,#231010,,<div className="text-xs font-light tracking-wide text-[#231010]/40 uppercase">
components/site/Nav.tsx,274,#231010 | #231010,,className="block text-base font-light text-[#231010]/70 hover:text-[#231010] transition-colors "
components/site/Nav.tsx,291,#231010 | #231010,,className="font-sans block py-4 text-xl font-light text-[#231010]/70 hover:text-[#231010] transition-all duration-300 "
components/site/Nav.tsx,300,#231010 | #231010,,className="font-sans block py-4 text-xl font-light text-[#231010]/70 hover:text-[#231010] transition-all duration-300 "
components/site/PageLoader.tsx,199,#DC2626,,<stop offset="0%" style={{ stopColor: '#DC2626'; stopOpacity: 0.2 }} />
components/site/PageLoader.tsx,200,#DC2626,,<stop offset="30%" style={{ stopColor: '#DC2626'; stopOpacity: 0.5 }} />
components/site/PageLoader.tsx,201,#DC2626,,<stop offset="70%" style={{ stopColor: '#DC2626'; stopOpacity: 0.8 }} />
components/site/PageLoader.tsx,202,#DC2626,,<stop offset="100%" style={{ stopColor: '#DC2626'; stopOpacity: 1 }} />
components/site/PageLoader.tsx,206,#DC2626,,<stop offset="0%" style={{ stopColor: '#DC2626'; stopOpacity: 0.3 }} />
components/site/PageLoader.tsx,207,#EF4444,,<stop offset="40%" style={{ stopColor: '#EF4444'; stopOpacity: 0.8 }} />
components/site/PageLoader.tsx,208,#FF6B6B,,<stop offset="70%" style={{ stopColor: '#FF6B6B'; stopOpacity: 1 }} />
components/site/PageLoader.tsx,209,#FF8888,,<stop offset="100%" style={{ stopColor: '#FF8888'; stopOpacity: 1 }} />
components/site/PageLoader.tsx,238,#FF4500,,stroke={solidLine ? '#FF4500' : 'url(#lineGradient)'}
components/site/PageLoader.tsx,243,rgba(255; 69; 0; 1) | rgba(255; 140; 0; 0.8) | rgba(255; 69; 0; 0.4),,filter: solidLine ? 'drop-shadow(0 0 8px rgba(255; 69; 0; 1)) drop-shadow(0 0 16px rgba(255; 140; 0; 0.8)) drop-shadow(0 0 32px rgba(255; 69; 0; 0.4))' : 'none'
components/site/PageLoaderV2.tsx,228,#DC2626,,<stop offset="0%" style={{ stopColor: '#DC2626'; stopOpacity: 0.2 }} />
components/site/PageLoaderV2.tsx,229,#DC2626,,<stop offset="30%" style={{ stopColor: '#DC2626'; stopOpacity: 0.5 }} />
components/site/PageLoaderV2.tsx,230,#DC2626,,<stop offset="70%" style={{ stopColor: '#DC2626'; stopOpacity: 0.8 }} />
components/site/PageLoaderV2.tsx,231,#DC2626,,<stop offset="100%" style={{ stopColor: '#DC2626'; stopOpacity: 1 }} />
components/site/PageLoaderV2.tsx,235,#DC2626,,<stop offset="0%" style={{ stopColor: '#DC2626'; stopOpacity: 0.3 }} />
components/site/PageLoaderV2.tsx,236,#EF4444,,<stop offset="40%" style={{ stopColor: '#EF4444'; stopOpacity: 0.8 }} />
components/site/PageLoaderV2.tsx,237,#FF6B6B,,<stop offset="70%" style={{ stopColor: '#FF6B6B'; stopOpacity: 1 }} />
components/site/PageLoaderV2.tsx,238,#FF8888,,<stop offset="100%" style={{ stopColor: '#FF8888'; stopOpacity: 1 }} />
components/site/PageLoaderV2.tsx,249,#FF4500,,stroke={solidLine ? '#FF4500' : 'url(#lineGradientV2)'}
components/site/PageLoaderV2.tsx,254,rgba(255; 69; 0; 1) | rgba(255; 140; 0; 0.8) | rgba(255; 69; 0; 0.4),,filter: solidLine ? 'drop-shadow(0 0 8px rgba(255; 69; 0; 1)) drop-shadow(0 0 16px rgba(255; 140; 0; 0.8)) drop-shadow(0 0 32px rgba(255; 69; 0; 0.4))' : 'none'
components/site/SearchModal.tsx,192,#231010,,<Search className="size-5 text-[#231010]/30 flex-shrink-0" />
components/site/SearchModal.tsx,206,#231010,,<X className="size-4 text-[#231010]/40" />
components/site/SearchModal.tsx,214,#231010,,<div className="py-12 text-center text-sm text-[#231010]/50">
components/site/SearchModal.tsx,235,#231010,,<span className="text-xs text-[#231010]/40 font-medium uppercase tracking-wide">
components/site/SearchModal.tsx,239,#231010,,<div className="font-semibold text-sm text-[#231010] mb-1">
components/site/SearchModal.tsx,243,#231010,,<div className="text-xs text-[#231010]/50 line-clamp-1">
components/site/SearchModal.tsx,249,#231010 | #231010,,index === selectedIndex ? "text-[#231010] translate-x-1" : "text-[#231010]/30"
components/ui/card.tsx,8,#fbfcff,,"rounded-[12px] overflow-hidden bg-[#fbfcff]";
components/ui/glass-surface.css,40,rgba(17; 17; 26; 0.05),,0px 4px 16px rgba(17; 17; 26; 0.05);
components/ui/glass-surface.css,41,rgba(17; 17; 26; 0.05),,0px 8px 24px rgba(17; 17; 26; 0.05);
components/ui/glass-surface.css,42,rgba(17; 17; 26; 0.05),,0px 16px 56px rgba(17; 17; 26; 0.05);
components/ui/glass-surface.css,43,rgba(17; 17; 26; 0.05),,0px 4px 16px rgba(17; 17; 26; 0.05) inset;
components/ui/glass-surface.css,44,rgba(17; 17; 26; 0.05),,0px 8px 24px rgba(17; 17; 26; 0.05) inset;
components/ui/glass-surface.css,45,rgba(17; 17; 26; 0.05),,0px 16px 56px rgba(17; 17; 26; 0.05) inset;
components/ui/glass-surface.css,49,rgba(255; 255; 255; 0.25),,background: rgba(255; 255; 255; 0.25);
components/ui/glass-surface.css,52,rgba(255; 255; 255; 0.3),,border: 1px solid rgba(255; 255; 255; 0.3);
components/ui/glass-surface.css,54,rgba(31; 38; 135; 0.2),,0 8px 32px 0 rgba(31; 38; 135; 0.2);
components/ui/glass-surface.css,55,rgba(31; 38; 135; 0.1),,0 2px 16px 0 rgba(31; 38; 135; 0.1);
components/ui/glass-surface.css,56,rgba(255; 255; 255; 0.4),,inset 0 1px 0 0 rgba(255; 255; 255; 0.4);
components/ui/glass-surface.css,57,rgba(255; 255; 255; 0.2),,inset 0 -1px 0 0 rgba(255; 255; 255; 0.2);
components/ui/glass-surface.css,62,rgba(255; 255; 255; 0.1),,background: rgba(255; 255; 255; 0.1);
components/ui/glass-surface.css,65,rgba(255; 255; 255; 0.2),,border: 1px solid rgba(255; 255; 255; 0.2);
components/ui/glass-surface.css,67,rgba(255; 255; 255; 0.2),,inset 0 1px 0 0 rgba(255; 255; 255; 0.2);
components/ui/glass-surface.css,68,rgba(255; 255; 255; 0.1),,inset 0 -1px 0 0 rgba(255; 255; 255; 0.1);
components/ui/glass-surface.css,74,rgba(255; 255; 255; 0.4),,background: rgba(255; 255; 255; 0.4);
components/ui/glass-surface.css,76,rgba(255; 255; 255; 0.5),,inset 0 1px 0 0 rgba(255; 255; 255; 0.5);
components/ui/glass-surface.css,77,rgba(255; 255; 255; 0.3),,inset 0 -1px 0 0 rgba(255; 255; 255; 0.3);
components/ui/glass-surface.css,84,rgba(255; 255; 255; 0.15),,background: rgba(255; 255; 255; 0.15);
components/ui/glass-surface.css,93,rgba(0; 0; 0; 0.4),,background: rgba(0; 0; 0; 0.4);
components/ui/glass-surface.css,97,rgba(255; 255; 255; 0.05),,background: rgba(255; 255; 255; 0.05);
